thread_name,total_running_ns,total_runnable_ns,total_sleeping_ns,total_interruptible_sleep_ns,total_uninterruptible_sleep_ns,total_stopped_ns,total_parked_ns
MediaCodec_loop,744912085,157224887,4070010085,0,0,0,0
ExoPlayer:Playb,478167767,204669643,4421136755,0,0,0,0
CodecLooper,322454224,29003900,4679694385,852294,0,0,0
ChromiumNet,259609704,25853560,557436397,0,0,0,0
ExoPlayer:Simpl,211153656,16148636,4858268632,0,0,0,0
android.youtube,177722460,20855225,4866433873,0,0,0,0
binder:23019_8,120424407,41088416,4029220700,0,0,0,0
binder:23019_5,103887646,32806157,4842130576,0,0,0,0
binder:23019_9,72101320,20687454,2389168948,0,0,0,0
BG Thread #3,61364627,38116656,1527428672,0,0,0,0
binder:23019_2,54340495,15396527,2519559403,0,0,0,0
binder:23019_7,49540008,18032184,4960006914,0,0,0,0
binder:23019_4,41106811,29673627,5046910683,0,0,0,0
CodecLooper,34059193,37462361,5046294324,0,0,0,0
mdxSsdp9-3,27822878,7635946,2474177204,519531,0,0,0
BG Thread #10,19322832,8170329,323585208,0,0,0,0
RenderThread,16319256,3760742,4326106161,0,0,0,0
ExoPlayer:Frame,12752847,2442994,4649407350,0,0,0,0
yt-critical Thr,10021403,280315,1345428954,0,0,0,0
mdxSsdp9-1,5564088,7753173,2508495158,0,0,0,0
yt-critical Thr,5099040,779215,3593864584,0,0,0,0
yt-critical Thr,4773723,370688,3145792480,0,0,0,0
yt-critical Thr,3546305,111695,3062248047,0,0,0,0
Lite Thread #5,3504353,822958,4014237794,0,0,0,0
Scheduler Threa,3129475,605998,4002432334,0,0,0,0
yt-critical Thr,2133381,576457,2697796510,0,0,0,0
yt-critical Thr,2125121,608968,2697301067,0,0,0,0
mdxSsdp9-2,2044718,2121583,2513303060,0,0,0,0
Lite Thread #1,1798626,498900,4003202556,0,0,0,0
mali-event-hand,1158650,1070315,4017373535,0,0,0,0
CCodecWatchdog,362020,397095,3377907878,0,0,0,0
CodecLooper,359660,390380,5000212160,0,0,0,0
yt-critical Thr,309978,698446,441937295,0,0,0,0
yt-critical Thr,234334,223593,2249759480,0,0,0,0
BG Thread #5,208658,87281,-1,0,0,0,0
BG Thread #8,120077,73608,-1,0,0,0,0
binder:23019_6,52491,83577,-1,0,0,0,0
,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
